Alg Amalgamation
Algorithm Architect
Apex Assembler
Big-Cube Baron
Blindfold Bishop
Blistering Blitzer
Burst Bomber
Clockwork Captain
Color-Neutral Colonel
Commutator Crusader
Corner-Cut Commander
Cube Cavalier
Dexterous Drifter
Finger-Trick Phantom
Flicker Fanatic
Flow-State Fighter
Formula Freak
Friction Fighter
Grip Governor
Inspection Idol
Layer Legend
Lock-up Lunatic
Lube Lord
Magnetic Maestro
Megalithic Megaminx
Method Mastermind
Motion Monarch
Notation Ninja
One-Handed Overlord
Orientation Oracle
Parity Priest
Permutation Princess
Pioneer Plucker
Pivot Pilot
Plastic Professional
Polyhedron Prince
Positioning Prophet
Pyraminx Pilot
Rotation Rebel
Scramble Sultan
Sequence Sorcerer
Sprinting Solver
Square-One Samurai
Sub-Ten Sovereign
Tensioning Technician
TPS Terrorizer
Twist Titan
U-Perm Underdog
Velocity Vaulter
World-Class Wizard
